feature_id	feature_name	stratification	JS_Ming_3	HN_WestZhou_2	GS_WestZhou_4
UNINTEGRATED	UNINTEGRATED	g__Actinomyces.s__Actinomyces_cardiffensis	0.00600714	0.00428692	0
UNINTEGRATED	UNINTEGRATED	g__Actinomyces.s__Actinomyces_georgiae	0	0	0.00072049
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	g__Enterobacter.s__Enterobacter_cloacae_complex	0	0	0
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	unclassified	0	0.0000208	0
PWY-6386	UDP-N-acetylmuramoyl-pentapeptide biosynthesis	unstratified	0.000012	0	0.000031
